Hymn,Title
662,Christ Is the King
663,"Spread, Oh Spread, Almighty Word"
664,Heaven Is Singing for Joy
665,"Rise, Shine, You People"
666,What Wondrous Love Is This
667,"Take Up Your Cross, the Savior Said"
668,"O Zion, Haste"
669,"Rise Up, O Saints of God"
670,"Build Us Up, Lord"
671,"Shine, Jesus Shine"
672,Signs and Wonders
673,"God, Whose Almighty Word"
674,Let Us Talents and Tongues Employ
675,"O Christ, Our Light, O Radiance True"
676,"Lord, Speak to Us, That We May Speak"
677,This Little Light of Mine
678,"God, Whose Giving Knows No Ending"
679,For the Fruit of All Creation
680,We Plow the Fields and Scatter
681,We Plow the Fields and Scatter
682,To God Our Thanks We Give
683,The Numberless Gifts of God's Mercies
684,"Creating God, Your Fingers Trace"
685,"Take My Life, That I May Be"
686,We Give Thee by Thine Own
687,"Come to Us, Creative Spirit"
688,Lord of Light
689,Praise and Thanksgiving 
690,We Raise Our Hands
691,"Accept, O Lord, the Gifts We Bring"
692,We Are an Offering
693,Come Ye Thankful People
694,Sing to the Lord of Harvest
695,As Saints of Old
696,Jesus Calls Us; O'er the Tumult
697,Just a Closer Walk with Thee
698,"How Long, O God"
699,In Deepest Night
700,Bring Peace to Earth Again
701,Once We Sang and Danced
702,"You, Dear Lord"
703,"O God, Why Are You Silent"
704,When Pain of the World Surrounds Us
705,God of Grace and God of Glory
706,The People Walk
707,"Lord of Glory, You Have Bought Us"
708,"Jesu, Jesu"
709,When Our Song Says Peace
710,Let Streams of Living Justice
711,O Day of Peace
712,"Lord, Whose Love in Humble Service"
713,O God of Every Nation
714,"O God of Mercy, God of Light"
715,"Christ, Be Our Light"
716,"Lord of All Nations, Grant Me Grace"
717,Let Justice Flow Like Streams
718,In a Lowly Manger Born
719,Where Cross the Crowded Ways of Life
720,We Are Called
721,Goodness is Stronger than Evil
722,"O Christ, Your Heart Compassionate"
723,Canticle of the Turning
724,All Who Love and Serve Your City
725,When the Poor Ones
726,Light Dawns on a Weary World
727,"Lord Christ, When First You Came"
728,Blest Are They
729,"The Church of Christ, in Every Age"
730,"Lord Our God, with Praise We Come"
731,Earth and All Stars
732,Borning Cry
733,Great Is Thy Faithfulness
734,"God, Whose Farm Is All Creation"
735,"Mothering God, You Gave Me Birth"
736,God the Sculptor of the Mountains
737,He Comes to Us as One Unknown
738,God Created Heaven and Earth
739,Touch the Earth Lightly
740,God of the Sparrow
741,Your Will Be Done
742,What a Friend We Have In Jesus
743,Now the the Holy Spirit Let Us Pray
744,"Lord, Be Glorified"
745,"Lord, Teach Us How to Pray Aright"
746,"Our Father, God in Heaven Above"
747,"Our Father, God in Heaven Above"
748,O God in Heaven
749,"O God of Love, O King of Peace"
750,"Lord, Thee I Love with All My Heart"
751,O Lord Hear My Prayer
752,Lord Listen to Your Children Praying
753,Dona Nobis Pacem
754,Jesus the Very Thought of You
755,"Jesus, Savior, Pilot Me"
756,"Eternal Father, Strong to Save"
757,All My Hope on God is Founded
758,You Are the Way
759,My Faith Looks Up to Thee
760,O Christ the Same
761,Evening and Morning
762,"Holy, Holy, Holy, Holy"
763,My Life Flows On in Endless Song
764,"Have No Fear, Little Flock"
765,Lord of all Hopefulness
766,Lord of Our Life
767,"Lord, Take My Hand and Lead Me"
768,"Lead Me, Guide Me"
769,If You But Trust in God to Guide You
770,Give Me Jesus
771,"God, Who Stretched the Spangled Heavens"
772,"Oh, That the Lord Would Guide My Ways"
773,"Precious Lord, Take My Hand"
774,"What A Fellowship, What a Joy Divine"
775,"Jesus, Priceless Treasure"
776,What God Ordains Is Good Indeed
777,"Come to Me, All Pilgrims Thirsty"
778,The Lord's My Shepherd
779,Amazing Grace
780,"Shepherd Me, O God"
781,Children of the Heavenly Father
782,"My Shepherd, You Supply My Need"
783,Praise and Thanks and Adoration
784,"Grant Peace, We Pray in Mercy Lord"
785,When Peace Like a River
786,"O Holy Spirit, Enter In"
787,On Eagle's Wings
788,If God My Lord Be for Me
789,"Savior, Like a Shepherd Lead Us"
790,Day by Day
791,"We Sing to You, O God"
792,When Memory Fades
793,Be Thou My Vision
794,Calm to the Waves
795,"God, My Lord, My Strength"
796,How Firm a Foundation
797,Blessed Be the Name
798,Will You Come and Follow Me
799,"Come Follow Me, the Savior Spake"
800,"Spirit of God, Descend Upon My Heart"
801,Change My Heart O God
802,Let Us Ever Walk With Jesus
803,When I Survey the Wondrous Cross
804,"Come Down, O Love Divine"
805,"Lead On, O King Eternal"
806,"O God, My Faithful God"
807,"Come, Thou Fount of Every Blessing"
808,"Lord Jesus, You Shall Be My Song"
809,"Send Me, Lord"
810,"O Jesus, I Have Promised"
811,On My Heart Imprint Your Image
812,Faith of our Fathers
813,Faith of our Fathers
814,"Take, Oh Take Me As I Am"
815,I Want to Walk as a Child of the Light
816,"Come, My Way, My Truth, My Life"
817,You Have Come Down to the Lakeshore
818,"O Master, Let Me Walk With You"
819,"Come, All You People"
820,"O Savior, Precious Savior"
821,Shout to the Lord
822,"Oh, Sing to the Lord"
823,"Praise the Lord, O Heavens"
824,This is My Father's World
825,You Servants of God
826,Thine the Amen
827,"Arise, My Soul, Arise"
828,Alleluia! Voices Raise
829,Have You Thanked the Lord
830,How Marvelous God's Greatness
831,The God of Abraham Praise
832,My Lord of Light
833,O That I Had a Thousand Voices
834,"Immortal, Invisible God Only Wise"
835,"All Creatures, Worship God Most High"
836,"Joyful, Joyful We Adore Thee"
837,"Many and Great, O God"
838,Beautiful Savior
839,Now Thank We All Our God
840,Now Thank We All Our God
841,Lift Every Voice and Sing
842,"Oh, Worship the King"
843,Praise the One Who Breaks the Darkness
844,Praise to the Lord
845,Voices Raised to You
846,"Amen, We Praise Your Name"
847,"Come, Let Us Join Our Cheerful Songs"
848,Give to Our God Immortal Praise
849,"Yours,Lord, Is the Glory"
850,When In Our Music God is Glorified
851,When In Our Music God is Glorified
852,Golden Breaks the Dawn
853,When Morning Gilds the Skies
854,Blessing and Honor
855,Crown Him with Many Crowns
856,How Great Thou Art
857,"Lord, I Lift Your Name on High"
858,"Praise to the Lord, the Almighty"
859,"Praise to the Lord, the Almighty"
860,I'm So Glad Jesus Lifted Me
861,When Long Before Time
862,"Praise, Praise You Are My Rock"
863,"My God, How Wonderful Thou Art"
864,Praise My Soul the God of Heaven
865,Praise My Soul the King of Heaven
866,We Are Marching in the Light
867,In Thee Is Gladness
868,Isaiah in a Vision Did of Old
869,We Have Seen the Lord
870,"We Praise You, O God"
871,"Sing Praise to God, the Highest Good"
872,Praise Ye the Lord
873,"Rejoice, Ye Pure in Heart"
874,"Rejoice, Ye Pure in Heart"
875,"Praise, Praise, Praise the Lord"
876,Let the Whole Creation Cry
877,Praise the Almighty
878,Soli Deo Gloria
879,For the Beauty of the Earth
880,O God Beyond All Praising
881,Let All Things Now Living
882,My Soul Does Magnify the Lord
883,All People Thaton Earth Do Dwell
884,"Praise God, From Whom All Blessings Flow"
885,"Praise God, From Whom All Blessings Flow"
886,"Oh, For a Thousand Tongues to Sing"
887,This is My Song
888,O Beautiful for Spacious Skies
889,The Right Hand of God
890,Mine Eyes Have Seen the Glory
891,God Bless Our Native Land
892,O Canada
893,"Before You Lord, We Bow"
